palika_id,province_en,province_ne,district_en,district_ne,palika_name_en,palika_name_ne,palika_type_en,palika_type_ne,palika_full_name_en,palika_full_name_ne,palika_label,wards,population_2021,area_km2,website,source_url
lumbini-parasi-ramgram-municipality,Lumbini,लुम्बिनी,Parasi,परासी,Ramgram,रामग्राम,Municipality,नगरपालिका,Ramgram Municipality,रामग्राम नगरपालिका,रामग्राम नगरपालिका / Ramgram Municipality,18,64017,128.32,,https://en.wikipedia.org/wiki/List_of_cities_in_Nepal
lumbini-parasi-sarawal-gaunpalika,Lumbini,लुम्बिनी,Parasi,परासी,Sarawal,सरावल,Gaunpalika,गाउँपालिका,Sarawal Gaunpalika,सरावल गाउँपालिका,सरावल गाउँपालिका / Sarawal Gaunpalika,0,42207,73.19,,https://en.wikipedia.org/wiki/List_of_gaunpalikas_of_Nepal
lumbini-parasi-sunawal-municipality,Lumbini,लुम्बिनी,Parasi,परासी,Sunawal,सुनवल,Municipality,नगरपालिका,Sunawal Municipality,सुनवल नगरपालिका,सुनवल नगरपालिका / Sunawal Municipality,13,72085,139.1,,https://en.wikipedia.org/wiki/List_of_cities_in_Nepal
lumbini-parasi-susta-gaunpalika,Lumbini,लुम्बिनी,Parasi,परासी,Susta,त्रिवेणी सुस्ता,Gaunpalika,गाउँपालिका,Susta Gaunpalika,त्रिवेणी सुस्ता गाउँपालिका,त्रिवेणी सुस्ता गाउँपालिका / Susta Gaunpalika,0,40655,112.17,,https://en.wikipedia.org/wiki/List_of_gaunpalikas_of_Nepal
lumbini-pyuthan-airawati-gaunpalika,Lumbini,लुम्बिनी,Pyuthan,प्युठान,Airawati,ऐरावती,Gaunpalika,गाउँपालिका,Airawati Gaunpalika,ऐरावती गाउँपालिका,ऐरावती गाउँपालिका / Airawati Gaunpalika,0,20428,156.75,,https://en.wikipedia.org/wiki/List_of_gaunpalikas_of_Nepal
lumbini-pyuthan-gaumukhi-gaunpalika,Lumbini,लुम्बिनी,Pyuthan,प्युठान,Gaumukhi,गौमुखी,Gaunpalika,गाउँपालिका,Gaumukhi Gaunpalika,गौमुखी गाउँपालिका,गौमुखी गाउँपालिका / Gaumukhi Gaunpalika,0,25980,139.04,,https://en.wikipedia.org/wiki/List_of_gaunpalikas_of_Nepal
lumbini-pyuthan-jhimruk-gaunpalika,Lumbini,लुम्बिनी,Pyuthan,प्युठान,Jhimruk,झिमरुक,Gaunpalika,गाउँपालिका,Jhimruk Gaunpalika,झिमरुक गाउँपालिका,झिमरुक गाउँपालिका / Jhimruk Gaunpalika,0,26130,106.93,,https://en.wikipedia.org/wiki/List_of_gaunpalikas_of_Nepal
lumbini-pyuthan-mallarani-gaunpalika,Lumbini,लुम्बिनी,Pyuthan,प्युठान,Mallarani,मल्लरानी,Gaunpalika,गाउँपालिका,Mallarani Gaunpalika,मल्लरानी गाउँपालिका,मल्लरानी गाउँपालिका / Mallarani Gaunpalika,0,15646,80.09,,https://en.wikipedia.org/wiki/List_of_gaunpalikas_of_Nepal
lumbini-pyuthan-mandavi-gaunpalika,Lumbini,लुम्बिनी,Pyuthan,प्युठान,Mandavi,माण्डवी,Gaunpalika,गाउँपालिका,Mandavi Gaunpalika,माण्डवी गाउँपालिका,माण्डवी गाउँपालिका / Mandavi Gaunpalika,0,15863,113.08,,https://en.wikipedia.org/wiki/List_of_gaunpalikas_of_Nepal
lumbini-pyuthan-naubahini-gaunpalika,Lumbini,लुम्बिनी,Pyuthan,प्युठान,Naubahini,नौबहिनी,Gaunpalika,गाउँपालिका,Naubahini Gaunpalika,नौबहिनी गाउँपालिका,नौबहिनी गाउँपालिका / Naubahini Gaunpalika,0,32682,213.41,,https://en.wikipedia.org/wiki/List_of_gaunpalikas_of_Nepal
lumbini-pyuthan-pyuthan-municipality,Lumbini,लुम्बिनी,Pyuthan,प्युठान,Pyuthan,प्यूठान,Municipality,नगरपालिका,Pyuthan Municipality,प्यूठान नगरपालिका,प्यूठान नगरपालिका / Pyuthan Municipality,10,42130,128.96,,https://en.wikipedia.org/wiki/List_of_cities_in_Nepal
lumbini-pyuthan-sarumarani-gaunpalika,Lumbini,लुम्बिनी,Pyuthan,प्युठान,Sarumarani,सरुमारानी,Gaunpalika,गाउँपालिका,Sarumarani Gaunpalika,सरुमारानी गाउँपालिका,सरुमारानी गाउँपालिका / Sarumarani Gaunpalika,0,19783,157.97,,https://en.wikipedia.org/wiki/List_of_gaunpalikas_of_Nepal
lumbini-pyuthan-swargadwari-municipality,Lumbini,लुम्बिनी,Pyuthan,प्युठान,Swargadwari,स्वर्गद्वारी,Municipality,नगरपालिका,Swargadwari Municipality,स्वर्गद्वारी नगरपालिका,स्वर्गद्वारी नगरपालिका / Swargadwari Municipality,9,32037,224.7,,https://en.wikipedia.org/wiki/List_of_cities_in_Nepal
lumbini-rolpa-gangadev-gaunpalika,Lumbini,लुम्बिनी,Rolpa,रोल्पा,Gangadev,गंगादेव,Gaunpalika,गाउँपालिका,Gangadev Gaunpalika,गंगादेव गाउँपालिका,गंगादेव गाउँपालिका / Gangadev Gaunpalika,0,21503,124.38,,https://en.wikipedia.org/wiki/List_of_gaunpalikas_of_Nepal
lumbini-rolpa-lungri-gaunpalika,Lumbini,लुम्बिनी,Rolpa,रोल्पा,Lungri,लुङ्ग्री,Gaunpalika,गाउँपालिका,Lungri Gaunpalika,लुङ्ग्री गाउँपालिका,लुङ्ग्री गाउँपालिका / Lungri Gaunpalika,0,26325,135.23,,https://en.wikipedia.org/wiki/List_of_gaunpalikas_of_Nepal
lumbini-rolpa-madi-gaunpalika,Lumbini,लुम्बिनी,Rolpa,रोल्पा,Madi,माडी,Gaunpalika,गाउँपालिका,Madi Gaunpalika,माडी गाउँपालिका,माडी गाउँपालिका / Madi Gaunpalika,0,18056,129.05,,https://en.wikipedia.org/wiki/List_of_gaunpalikas_of_Nepal
lumbini-rolpa-paribartan-gaunpalika,Lumbini,लुम्बिनी,Rolpa,रोल्पा,Paribartan,परिवर्तन,Gaunpalika,गाउँपालिका,Paribartan Gaunpalika,परिवर्तन गाउँपालिका,परिवर्तन गाउँपालिका / Paribartan Gaunpalika,0,21671,163.01,,https://en.wikipedia.org/wiki/List_of_gaunpalikas_of_Nepal
lumbini-rolpa-rolpa-municipality,Lumbini,लुम्बिनी,Rolpa,रोल्पा,Rolpa,रोल्पा,Municipality,नगरपालिका,Rolpa Municipality,रोल्पा नगरपालिका,रोल्पा नगरपालिका / Rolpa Municipality,10,35376,270.42,,https://en.wikipedia.org/wiki/List_of_cities_in_Nepal
lumbini-rolpa-runtigadhi-gaunpalika,Lumbini,लुम्बिनी,Rolpa,रोल्पा,Runtigadhi,रुन्टीगढी,Gaunpalika,गाउँपालिका,Runtigadhi Gaunpalika,रुन्टीगढी गाउँपालिका,रुन्टीगढी गाउँपालिका / Runtigadhi Gaunpalika,0,28291,232.69,,https://en.wikipedia.org/wiki/List_of_gaunpalikas_of_Nepal
lumbini-rolpa-sunchhahari-gaunpalika,Lumbini,लुम्बिनी,Rolpa,रोल्पा,Sunchhahari,सुनछहरी,Gaunpalika,गाउँपालिका,Sunchhahari Gaunpalika,सुनछहरी गाउँपालिका,सुनछहरी गाउँपालिका / Sunchhahari Gaunpalika,0,17241,277.62,,https://en.wikipedia.org/wiki/List_of_gaunpalikas_of_Nepal
lumbini-rolpa-sunilsmriti-gaunpalika,Lumbini,लुम्बिनी,Rolpa,रोल्पा,Sunilsmriti,सुनिलस्मृति,Gaunpalika,गाउँपालिका,Sunilsmriti Gaunpalika,सुनिलस्मृति गाउँपालिका,सुनिलस्मृति गाउँपालिका / Sunilsmriti Gaunpalika,0,30617,156.55,,https://en.wikipedia.org/wiki/List_of_gaunpalikas_of_Nepal
